candidate_id,rank,score,reasoning
CAND_0043860,1,2.1360,6.1 yrs exp in core sweet spot; shipped vector db / hybrid search; eval frameworks (ndcg/mrr/a-b).
CAND_0076482,2,2.1310,6.6 yrs exp in core sweet spot; product company experience; shipped vector db / hybrid search.
CAND_0043637,3,2.0870,5.5 yrs exp; shipped vector db / hybrid search.
CAND_0008295,4,1.9620,6.5 yrs exp in core sweet spot; shipped vector db / hybrid search.
CAND_0032887,5,1.9620,6.1 yrs exp in core sweet spot; shipped vector db / hybrid search.
CAND_0077337,6,1.9410,7.0 yrs exp in core sweet spot; shipped vector db / hybrid search; eval frameworks (ndcg/mrr/a-b).
CAND_0096142,7,1.9220,5.0 yrs exp; product company experience; shipped vector db / hybrid search.
CAND_0073883,8,1.8780,5.3 yrs exp; product company experience; shipped vector db / hybrid search.
CAND_0070525,9,1.8730,5.4 yrs exp; embedding-based retrieval experience.
CAND_0013440,10,1.8640,7.2 yrs exp in core sweet spot; product company experience; shipped vector db / hybrid search.
CAND_0039587,11,1.8640,6.2 yrs exp in core sweet spot; shipped vector db / hybrid search; eval frameworks (ndcg/mrr/a-b).
CAND_0068932,12,1.8500,5.2 yrs exp; shipped vector db / hybrid search; sub-30 notice.
CAND_0080465,13,1.8350,Shipped vector db / hybrid search; eval frameworks (ndcg/mrr/a-b).
CAND_0093763,14,1.8350,5.0 yrs exp; product company experience; shipped vector db / hybrid search.
CAND_0094482,15,1.8350,6.4 yrs exp in core sweet spot; product company experience; shipped vector db / hybrid search.
CAND_0063622,16,1.8340,5.2 yrs exp; product company experience; eval frameworks (ndcg/mrr/a-b).
CAND_0089181,17,1.8170,7.7 yrs exp in core sweet spot; product company experience; shipped vector db / hybrid search.
CAND_0096104,18,1.8110,7.0 yrs exp in core sweet spot; shipped vector db / hybrid search; sub-30 notice.
CAND_0065786,19,1.7940,Product company experience; shipped vector db / hybrid search; eval frameworks (ndcg/mrr/a-b).
CAND_0032311,20,1.7920,6.4 yrs exp in core sweet spot; product company experience; shipped vector db / hybrid search.
CAND_0016659,21,1.7830,Product company experience; shipped vector db / hybrid search.
CAND_0005269,22,1.7800,6.1 yrs exp in core sweet spot; shipped vector db / hybrid search; eval frameworks (ndcg/mrr/a-b).
CAND_0081846,23,1.7800,6.7 yrs exp in core sweet spot; shipped vector db / hybrid search; eval frameworks (ndcg/mrr/a-b).
CAND_0084943,24,1.7800,6.4 yrs exp in core sweet spot; product company experience; eval frameworks (ndcg/mrr/a-b).
CAND_0005260,25,1.7650,5.2 yrs exp; product company experience; shipped vector db / hybrid search.
CAND_0082086,26,1.7610,6.0 yrs exp in core sweet spot; product company experience; shipped vector db / hybrid search.
CAND_0058152,27,1.7570,Product company experience; shipped vector db / hybrid search.
CAND_0004402,28,1.7510,6.0 yrs exp in core sweet spot; product company experience; shipped vector db / hybrid search.
